link,number_of_rooms,number_of_bedrooms,number_of_bathrooms,area_type,area_value,occupancy,additional_features,year_built,parking_total,Title,Price,Location
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/18190994?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Gross area,970 sqft,5 days after acceptance of promise to rent,"Pets allowed with conditions, Elevator, Semi-furnished, Internet included, Private balcony, Roof terrace, Fitness room","2024, New",Garage (1),"Condo / Apartment for rent in Montréal (Lachine), Montréal (Island), 365, Avenue George-V, apt. 601, 18190994 - Centris.ca","$2,630 /month","365, Avenue George-V, apt. 601
Montréal (Lachine)
Neighbourhood East"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/17693156?view=Summary&uc=3,8 rooms,3 bedrooms,2 bathrooms,Gross area,"1,196 sqft",5 days after acceptance of promise to rent,"Pets allowed with conditions, Elevator, Semi-furnished, Internet included, Private balcony, Roof terrace, Fitness room","2024, New",Garage (1),"Condo / Apartment for rent in Montréal (Lachine), Montréal (Island), 365, Avenue George-V, apt. 105, 17693156 - Centris.ca","$2,810 /month","365, Avenue George-V, apt. 105
Montréal (Lachine)
Neighbourhood East"
https://www.centris.ca/en/condos-apartments~for-rent~saint-charles-borromee/28159828?view=Summary&uc=3,5 rooms,3 bedrooms,1 bathroom,Gross area,"1,210 sqft",2024-01-01,N/A,"2023, New",Driveway (1),"Condo / Apartment for rent in Saint-Charles-Borromée, Lanaudière, 235, Rue Flavie-Poirier, apt. 202, 28159828 - Centris.ca","$1,750 /month","235, Rue Flavie-Poirier, apt. 202
Saint-Charles-Borromée"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/20966043?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-07-01,N/A,2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1288, Rue Saint-Antoine Ouest, apt. 2205, 20966043 - Centris.ca","$1,900 /month","1288, Rue Saint-Antoine Ouest, apt. 2205
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/14741369?view=Summary&uc=3,5 rooms,2 bedrooms,2 bathrooms,Net area,910 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 2902, 14741369 - Centris.ca","$3,044 /month","1180, Rue De Bleury, apt. 2902
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~joliette/11380310?view=Summary&uc=3,7 rooms,2 bedrooms,1 bathroom,Net area,985 sqft,2024-04-09,Elevator,2023,Garage (1),"Condo / Apartment for rent in Joliette, Lanaudière, 1440, Rue Agnès-Parent, apt. 108, 11380310 - Centris.ca","$1,455 /month","1440, Rue Agnès-Parent, apt. 108
Joliette"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-anjou/21752738?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Net area,"1,033 sqft",15 days after acceptance of promise to rent,"Pets allowed with conditions, Smoking not allowed, Elevator, Semi-furnished, EV charging station, Fitness room, Bicycle storage area","2023, New",Garage (1),"Condo / Apartment for rent in Montréal (Anjou), Montréal (Island), 7051, boulevard des Galeries-d'Anjou, apt. 809, 21752738 - Centris.ca","$2,335 /month","7051, boulevard des Galeries-d'Anjou, apt. 809
Montréal (Anjou)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/11611198?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,Net area,859 sqft,2024-02-01,"Animals allowed, Smoking not allowed, Internet included","2022, New",N/A,"Condo / Apartment for rent in Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Montréal (Island), 5170, Avenue West Hill, apt. 10, 11611198 - Centris.ca","$1,910 /month","5170, Avenue West Hill, apt. 10
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)
Neighbourhood Notre-Dame-de-Grâce"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/20110066?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,Net area,700 sqft,5 days after acceptance of promise to rent,N/A,1958,N/A,"Condo / Apartment for rent in Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Montréal (Island), 6770, Chemin de la Côte-Saint-Luc, apt. 15, 20110066 - Centris.ca","$1,425 /month","6770, Chemin de la Côte-Saint-Luc, apt. 15
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)
Neighbourhood Notre-Dame-de-Grâce"
https://www.centris.ca/en/condominium-houses~for-rent~mont-tremblant/19988336?view=Summary&uc=3,11 rooms,3 bedrooms,2 bathrooms,N/A,N/A,2022-11-18,N/A,N/A,N/A,"Condominium house for rent in Mont-Tremblant, Laurentides, 142, Rue Pinoteau, apt. 1, 19988336 - Centris.ca","$3,500 /month","142, Rue Pinoteau, apt. 1
Mont-Tremblant
Neighbourhood Tremblant (Station)"
https://www.centris.ca/en/condos-apartments~for-rent~brossard/14410330?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Gross area,965 sqft,2024-05-21,Near the REM,2024,Garage (1),"Condo / Apartment for rent in Brossard, Montérégie, 505, Rue de l'Escale, apt. 222, 14410330 - Centris.ca","$2,300 /month","505, Rue de l'Escale, apt. 222
Brossard
Neighbourhood Street names (C)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22095425?view=Summary&uc=3,6 rooms,2 bedrooms,2 bathrooms,Net area,740 sqft,3 days after acceptance of promise to rent,N/A,2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1288, Rue Saint-Antoine Ouest, apt. 711, 22095425 - Centris.ca","$2,500 /month","1288, Rue Saint-Antoine Ouest, apt. 711
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22594387?view=Summary&uc=3,6 rooms,2 bedrooms,2 bathrooms,Net area,690 sqft,2024-10-01,"Elevator, Furnished, Internet included, Near the REM",2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1288, Rue Saint-Antoine Ouest, apt. 612, 22594387 - Centris.ca","$2,600 /month","1288, Rue Saint-Antoine Ouest, apt. 612
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/10897449?view=Summary&uc=3,4 rooms,2 bedrooms,1 bathroom,N/A,N/A,7 days after acceptance of promise to rent,"Pets allowed with conditions, Smoking not allowed, Semi-furnished, Internet included",N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 2330, Rue Tupper, apt. 911, 10897449 - Centris.ca","$3,037 /month","2330, Rue Tupper, apt. 911
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/16042738?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,Net area,939 sqft,2024-06-01,"Elevator, Furnished",2003,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1315, Rue Notre-Dame Ouest, apt. 102, 16042738 - Centris.ca","$2,600 /month","1315, Rue Notre-Dame Ouest, apt. 102
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/19746637?view=Summary&uc=3,5 rooms,3 bedrooms,2 bathrooms,Gross area,"1,045 sqft",2024-06-01,"Pets allowed with conditions, Smoking not allowed, Semi-furnished, Internet included, Roof terrace, Fitness room",N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 2114, Rue Sainte-Catherine Est, apt. 609, 19746637 - Centris.ca","$3,420 /month","2114, Rue Sainte-Catherine Est, apt. 609
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/19885258?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,583 sqft,2024-07-01,"Animals allowed, Smoking not allowed, Elevator, Semi-furnished",2023,N/A,"Condo / Apartment for rent in Montréal (Le Sud-Ouest), Montréal (Island), 1251, Rue Ottawa, apt. 210, 19885258 - Centris.ca","$1,653 /month","1251, Rue Ottawa, apt. 210
Montréal (Le Sud-Ouest)
Neighbourhood Griffintown"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/23170798?view=Summary&uc=3,4 rooms,2 bedrooms (1 in basement),1 bathroom,Gross area,653 sqft,2024-11-01,Semi-furnished,2017,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1450, boulevard René-Lévesque Ouest, apt. 2911, 23170798 - Centris.ca","$2,400 /month","1450, boulevard René-Lévesque Ouest, apt. 2911
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12051250?view=Summary&uc=3,7 rooms,2 bedrooms,1 bathroom,Net area,653 sqft,2024-09-03,Animals allowed,2017,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 2117, Rue Tupper, apt. 1403, 12051250 - Centris.ca","$2,150 /month","2117, Rue Tupper, apt. 1403
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~lavaltrie/25569330?view=Summary&uc=3,8 rooms,3 bedrooms,1 bathroom,Net area,"1,176 sqft",2024-05-01,N/A,2023,Garage (1),"Condo / Apartment for rent in Lavaltrie, Lanaudière, 570, Rue Notre-Dame, apt. 101, 25569330 - Centris.ca","$1,775 /month","570, Rue Notre-Dame, apt. 101
Lavaltrie"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/17425048?view=Summary&uc=3,9 rooms,2 bedrooms,1 bathroom,Net area,904 sqft,3 days after acceptance of promise to rent,"Furnished, Private balcony",N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1150, boulevard René-Lévesque Est, apt. 614, 17425048 - Centris.ca","$3,200 /month","1150, boulevard René-Lévesque Est, apt. 614
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/21336970?view=Summary&uc=3,8 rooms,2 bedrooms,2 bathrooms,Gross area,"1,077 sqft",2024-07-01,"Animals allowed, Smoking not allowed, Elevator, Internet included, Roof terrace, Fitness room, Bicycle storage area, Near the REM",2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1020, Rue De Bleury, apt. 1201, 21336970 - Centris.ca","$3,785 /month","1020, Rue De Bleury, apt. 1201
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/10687515?view=Summary&uc=3,3 rooms,1 bedroom in basement,1 bathroom,N/A,N/A,2024-05-01,N/A,"2024, New",Driveway (1),"Condo / Apartment for rent in Montréal (Mercier/Hochelaga-Maisonneuve), Montréal (Island), 551, Rue Taillon, 10687515 - Centris.ca","$1,395 /month","551, Rue Taillon
Montréal (Mercier/Hochelaga-Maisonneuve)
Neighbourhood Mercier"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26424999?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-08-29,N/A,N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1212, Rue Bishop, apt. 407, 26424999 - Centris.ca","$1,850 /month","1212, Rue Bishop, apt. 407
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/houses~for-rent~mont-tremblant/22423023?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Lot area,"11,240 sqft",5 days after acceptance of promise to rent,"Furnished, Internet included",N/A,N/A,"House for rent in Mont-Tremblant, Laurentides, 104, Rue Fortin, 22423023 - Centris.ca","$1,800 /month","104, Rue Fortin
Mont-Tremblant
Neighbourhood Village Mont-Tremblant"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26477694?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,605 sqft,10 days after acceptance of promise to rent,"Animals allowed, Elevator, Semi-furnished, Private balcony, Roof terrace, Fitness room, Bicycle storage area, Near the REM",2023,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1245, Rue De Bleury, apt. 4622, 26477694 - Centris.ca","$2,100 /month","1245, Rue De Bleury, apt. 4622
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~contrecoeur/17358404?view=Summary&uc=3,5 rooms,3 bedrooms,1 bathroom,Gross area,"1,264 sqft",2024-07-01,"Pets allowed with conditions, Private balcony","2024, New",Driveway (2),"Condo / Apartment for rent in Contrecoeur, Montérégie, 4568, Route Marie-Victorin, 17358404 - Centris.ca","$1,800 /month","4568, Route Marie-Victorin
Contrecoeur"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9083351?view=Summary&uc=3,1 room,1 bedroom,1 bathroom,Gross area,345 sqft,According to leases,"Animals not allowed, Smoking not allowed, Elevator, Semi-furnished, Internet included, Roof terrace, Fitness room",2022,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1424, boulevard Saint-Laurent, apt. 507, 9083351 - Centris.ca","$1,610 /month","1424, boulevard Saint-Laurent, apt. 507
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~salaberry-de-valleyfield/26073768?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,N/A,N/A,2024-07-01,"Pets allowed with conditions, Smoking not allowed, Elevator, EV charging station, Private balcony",N/A,Driveway (1),"Condo / Apartment for rent in Salaberry-de-Valleyfield, Montérégie, 101, Rue Salaberry, apt. 35, 26073768 - Centris.ca","$1,480 /month","101, Rue Salaberry, apt. 35
Salaberry-de-Valleyfield
Neighbourhood Salaberry-de-Valleyfield"
https://www.centris.ca/en/houses~for-rent~westmount/10780537?view=Summary&uc=3,14 rooms,6 bedrooms (1 in basement),3 bathrooms and 1 powder room,Lot area,"4,440 sqft",7 days after acceptance of promise to rent,Basement 6 feet or +,1909,"Driveway (5), Garage (1)","House for rent in Westmount, Montréal (Island), 607, Avenue Roslyn, 10780537 - Centris.ca","$6,750 /month","607, Avenue Roslyn
Westmount"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/10379731?view=Summary&uc=3,5 rooms,3 bedrooms,1 bathroom,N/A,N/A,2024-08-01,N/A,1960,N/A,"Condo / Apartment for rent in Montréal (Le Sud-Ouest), Montréal (Island), 6829, Avenue De Montmagny, 10379731 - Centris.ca","$1,750 /month","6829, Avenue De Montmagny
Montréal (Le Sud-Ouest)
Neighbourhood Ville-Émard"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/9024797?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,539 sqft,2024-04-01,N/A,2011,Garage (1),"Condo / Apartment for rent in Montréal (Saint-Laurent), Montréal (Island), 2250, Rue Ward, apt. 105, 9024797 - Centris.ca","$1,600 /month","2250, Rue Ward, apt. 105
Montréal (Saint-Laurent)
Neighbourhood Saint-Laurent West"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/16542894?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,605 sqft,10 days after acceptance of promise to rent,"Animals allowed, Elevator, Semi-furnished, Private balcony, Roof terrace, Fitness room, Bicycle storage area, Near the REM",2023,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1245, Rue De Bleury, apt. 5122, 16542894 - Centris.ca","$2,200 /month","1245, Rue De Bleury, apt. 5122
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/27787948?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-08-01,N/A,2018,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1188, Avenue Union, apt. 1603, 27787948 - Centris.ca","$1,800 /month","1188, Avenue Union, apt. 1603
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~mirabel/19253398?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,Gross area,968 sqft,2024-07-01,N/A,"2024, New",N/A,"Condo / Apartment for rent in Mirabel, Laurentides, 11200, Rue de Chambord, apt. 123, 19253398 - Centris.ca","$2,625 /month","11200, Rue de Chambord, apt. 123
Mirabel
Neighbourhood Domaine Vert Nord"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/13162936?view=Summary&uc=3,6 rooms,3 bedrooms,1 bathroom,Gross area,"1,430 sqft",2024-07-01,N/A,1965,N/A,"Condo / Apartment for rent in Montréal (Ahuntsic-Cartierville), Montréal (Island), 10294A, Grande Allée, 13162936 - Centris.ca","$2,000 /month","10294A, Grande Allée
Montréal (Ahuntsic-Cartierville)
Neighbourhood Ahuntsic West"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/21739498?view=Summary&uc=3,6 rooms,1 bedroom,1 bathroom,Net area,465 sqft,15 days after acceptance of promise to rent,"Semi-furnished, Roof terrace, Fitness room, Near the REM",2022,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 720, Rue Saint-Jacques, apt. 4706, 21739498 - Centris.ca","$2,500 /month","720, Rue Saint-Jacques, apt. 4706
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~quebec-la-cite-limoilou/11144027?view=Summary&uc=3,6 rooms,1 bedroom,1 bathroom,Net area,635 sqft,7 days after acceptance of promise to rent,"Elevator, Furnished",2023,Garage (1),"Condo / Apartment for rent in Québec (La Cité-Limoilou), Capitale-Nationale, 11, Rue Elgin, apt. 308, 11144027 - Centris.ca","$2,500 /month","11, Rue Elgin, apt. 308
Québec (La Cité-Limoilou)
Neighbourhood Vieux-Québec/Cap-Blanc/Colline parlem."
https://www.centris.ca/en/houses~for-rent~laval-saint-vincent-de-paul/13735413?view=Summary&uc=3,8 rooms,3 bedrooms,1 bathroom and 1 powder room,N/A,N/A,According to leases,N/A,1964,N/A,"House for rent in Laval (Saint-Vincent-de-Paul), Laval, 945, Avenue Fréchette, 13735413 - Centris.ca","$2,750 /month","945, Avenue Fréchette
Laval (Saint-Vincent-de-Paul)"
https://www.centris.ca/en/condos-apartments~for-rent~salaberry-de-valleyfield/26190618?view=Summary&uc=3,4 rooms,2 bedrooms,1 bathroom,N/A,N/A,2024-07-01,"Animals not allowed, Smoking not allowed",N/A,N/A,"Condo / Apartment for rent in Salaberry-de-Valleyfield, Montérégie, 169, Rue Jacques-Cartier, apt. 6, 26190618 - Centris.ca","$1,250 /month","169, Rue Jacques-Cartier, apt. 6
Salaberry-de-Valleyfield
Neighbourhood Salaberry-de-Valleyfield"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/25375573?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom and 1 powder room,N/A,N/A,15 days after acceptance of promise to rent,N/A,2023,Garage (1),"Condo / Apartment for rent in Montréal (LaSalle), Montréal (Island), 21, Avenue Strathyre, 25375573 - Centris.ca","$2,800 /month","21, Avenue Strathyre
Montréal (LaSalle)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/15360957?view=Summary&uc=3,10 rooms,3 bedrooms,3 bathrooms and 1 powder room,Net area,"3,000 sqft",3 days after acceptance of promise to rent,"Elevator, Near the REM","2022, New",Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 220, Rue Saint-Paul Ouest, apt. 201, 15360957 - Centris.ca","$20,000 /month","220, Rue Saint-Paul Ouest, apt. 201
Montréal (Ville-Marie)
Neighbourhood Old Montréal"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/20054094?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Gross area,625 sqft,2024-07-01,"Animals not allowed, Smoking not allowed, Elevator, Furnished",2018,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1188, Avenue Union, apt. 3208, 20054094 - Centris.ca","$2,100 /month","1188, Avenue Union, apt. 3208
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~l-ile-perrot/26175384?view=Summary&uc=3,7 rooms,3 bedrooms,1 bathroom,N/A,N/A,2024-08-01,"Cats allowed, Dogs allowed, Smoking not allowed, Basement 6 feet or +","Under construction, New",Driveway (2),"Condo / Apartment for rent in L'Île-Perrot, Montérégie, 83, 5e Avenue, apt. C, 26175384 - Centris.ca","$2,100 /month","83, 5e Avenue, apt. C
L'Île-Perrot"
https://www.centris.ca/en/houses~for-rent~lac-sergent/9375846?view=Summary&uc=3,11 rooms,2 bedrooms,2 bathrooms,Lot area,"128,369 sqft",30 days after acceptance of promise to rent,"Access to a lake, Navigable body of water",2008,"Driveway (10), Garage (1)","House for rent in Lac-Sergent, Capitale-Nationale, 923, Chemin des Hêtres, 9375846 - Centris.ca","$3,500 /month","923, Chemin des Hêtres
Lac-Sergent"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/24722565?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,N/A,N/A,2023-12-01,"Furnished, Internet included",1949,N/A,"Condo / Apartment for rent in Montréal (Villeray/Saint-Michel/Parc-Extension), Montréal (Island), 7475A, Rue de Bordeaux, 24722565 - Centris.ca","$1,800 /month","7475A, Rue de Bordeaux
Montréal (Villeray/Saint-Michel/Parc-Extension)
Neighbourhood Villeray"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/17421370?view=Summary&uc=3,4 rooms,2 bedrooms,1 bathroom,Gross area,"1,380 sqft",10 days after acceptance of promise to rent,Near the REM,1900,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1572, Avenue Summerhill, apt. A, 17421370 - Centris.ca","$2,550 /month","1572, Avenue Summerhill, apt. A
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/15465574?view=Summary&uc=3,8 rooms,3 bedrooms,2 bathrooms,N/A,N/A,2024-07-01,Semi-furnished,N/A,"Driveway (1), Garage (1)","Condo / Apartment for rent in Montréal (Outremont), Montréal (Island), 1525, Avenue Lajoie, 15465574 - Centris.ca","$3,635 /month","1525, Avenue Lajoie
Montréal (Outremont)"
